Latitude,Longitude,Address,Property_type,Rooms,Home_size,Lot Size,Year_built,Parcel_number,RealtyID,County,Subdivision,Census,Tract,Lot,Zoning,Date,Sale_price,Estimated Value,url
34.045954,-118.464119,1215 Armacost Ave # 203,Condominium,"2 beds, 2 baths","1,090 sqft","9,599 sqft",2007,4263005148,1110736719,Los Angeles,49641,1,267402,1,"
Zoning:

LAR3
		",09/16/2020,"$820,000","$854,000",https://www.realtytrac.com/property/ca/los-angeles/90025/1215-armacost-ave-203/155022107/
34.092821,-118.367026,1234 Havenhurst Dr # 8,Condominium,"2 beds, 2 baths","1,007 sqft","14,919 sqft",1955,5554009036,1110736720,Los Angeles,37062,5,700200,1,"
Zoning:

WDR4*
		",09/16/2020,"$662,000","$777,000",https://www.realtytrac.com/property/ca/west-hollywood/90046/1234-havenhurst-dr-8/52170356/
34.4373,-118.5154,27629 Solana Way,Condominium,"4 beds, 4 baths","3,516 sqft",0.76 acres,2017,2801028091,1110736725,Los Angeles,,1,920028,1,"
Zoning:

SCUR3
		",09/16/2020,"$760,000","$757,000",https://www.realtytrac.com/property/ca/santa-clarita/91350/27629-solana-way/323430688/
34.172798,-118.600997,21620 Burbank Blvd # 10,Condominium,"3 beds, 3 baths","1,595 sqft",2.74 acres,1981,2146007035,1110738650,Los Angeles,38707,1,137103,,"
Zoning:

LAWC
		",09/16/2020,"$580,000","$575,000",https://www.realtytrac.com/property/ca/woodland-hls/91367/21620-burbank-blvd-10/7102759/
34.574381,-118.037508,38058 Lido Dr,Single Family Residence,"4 beds, 3 baths","1,979 sqft","7,036 sqft",1989,3023054044,1110738665,Los Angeles,45073,1,910713,45,"
Zoning:

PDA2*
		",09/16/2020,"$350,000","$334,000",https://www.realtytrac.com/property/ca/palmdale/93552/38058-lido-dr/16671462/
34.139302,-117.998731,150 E Cypress Ave,Single Family Residence,"4 beds, 3 baths","2,082 sqft","8,555 sqft",1948,8508012036,1110739957,Los Angeles,6697,3,431100,20,"
Zoning:

MORL*
		",02/28/2018,"$662,000","$812,000",https://www.realtytrac.com/property/ca/monrovia/91016/150-e-cypress-ave/34821766/
33.870331,-118.176778,1221 E Poinsettia St,Single Family Residence,"2 beds, 1 bath","1,076 sqft","5,047 sqft",1929,7114023002,1110868248,Los Angeles,7261,3,570501,130,"
Zoning:

LBR1N
		",09/21/2020,"$515,000","$509,000",https://www.realtytrac.com/property/ca/long-beach/90805/1221-e-poinsettia-st/24866478/
34.031621,-118.715843,24818 Malibu Rd,Single Family Residence,"3 beds, 4 baths","2,810 sqft","6,934 sqft",1990,4458013010,1110740721,Los Angeles,13157,1,800410,73,"
Zoning:

LCR1*
		",09/16/2020,"$7,800,000","$2,627,000",https://www.realtytrac.com/property/ca/malibu/90265/24818-malibu-rd/30086624/
34.175688,-118.222974,1865 Verdugo Knolls Dr,Single Family Residence,"4 beds, 3 baths","2,278 sqft","9,837 sqft",1924,5652019019,1110740748,Los Angeles,4873,1,300800,16,"
Zoning:

GLR1*
		",09/16/2020,"$1,194,000","$1,210,000",https://www.realtytrac.com/property/ca/glendale/91208/1865-verdugo-knolls-dr/154641851/
34.064384,-118.312069,533 S St Andrews Pl # 301,Condominium,"2 beds, 2 baths",996 sqft,0.78 acres,1987,5504029063,1110742049,Los Angeles,50428,2,211704,1,"
Zoning:

LAR4
		",09/16/2020,"$490,000","$557,000",https://www.realtytrac.com/property/ca/los-angeles/90020/533-s-st-andrews-pl-301/141970103/
33.880426,-118.156756,3051 E 69th St,Single Family Residence,"4 beds, 3 baths","1,770 sqft","6,167 sqft",1957,7113012030,1110743915,Los Angeles,22719,1,570203,16,"
Zoning:

LBR1N
		",09/16/2020,"$485,000","$574,000",https://www.realtytrac.com/property/ca/long-beach/90805/3051-e-69th-st/53149704/
34.073875,-118.506058,13540 Bayliss Rd,Single Family Residence,"3 beds, 3 baths","2,613 sqft","13,992 sqft",1964,4492016013,1110743978,Los Angeles,23094,2,262400,26,"
Zoning:

LARE15
		",09/16/2020,"$2,750,000","$2,401,000",https://www.realtytrac.com/property/ca/los-angeles/90049/13540-bayliss-rd/28393642/
34.163508,-118.526494,5153 Hesperia Ave,Single Family Residence,"3 beds, 2 baths","1,431 sqft","6,504 sqft",1948,2181003019,1110744652,Los Angeles,15126,2,139502,40,"
Zoning:

LAR1
		",09/16/2020,"$880,000","$836,000",https://www.realtytrac.com/property/ca/encino/91316/5153-hesperia-ave/25225582/
33.780221,-118.153202,1066 Coronado Ave,Apartment house (5+ units),"16 beds, 16 baths","7,208 sqft","6,250 sqft",1986,7258006007,1110744715,Los Angeles,HARPER TR,1,576903,7,"
Zoning:

LBR2N
		",09/16/2020,"$2,405,000","$848,000",https://www.realtytrac.com/property/ca/long-beach/90804/1066-coronado-ave/43792862/
33.931443,-118.266789,440 E Lanzit Ave,Single Family Residence,"4 beds, 1 bath",722 sqft,"3,290 sqft",1924,6073028004,1110779079,Los Angeles,3598,3,240900,19,"
Zoning:

LAR4
		",09/17/2020,"$296,500","$371,000",https://www.realtytrac.com/property/ca/los-angeles/90061/440-e-lanzit-ave/16675635/
34.085357,-118.223401,2612 Jeffries Ave,"Duplex (2 units, any combination)","3 beds, 2 baths","1,616 sqft","6,554 sqft",1922,5446011016,1110748574,Los Angeles,JEFFRIES AVE TR,2,185320,16,"
Zoning:

LARD2
		",08/02/1999,,"$755,000",https://www.realtytrac.com/property/ca/los-angeles/90065/2612-jeffries-ave/44890881/
34.386142,-118.533017,24811 Railroad Ave,"Store, Retail Outlet ",,"14,971 sqft",1.01 acres,1964,2855013044,1110748673,Los Angeles,5844,3,920336,91,"
Zoning:

SCCC
		",09/16/2020,"$2,000,000",,https://www.realtytrac.com/property/ca/newhall/91321/24811-railroad-ave/142773308/
34.072198,-118.039791,3503 Lexington Ave,Store/Office (mixed use),,999 sqft,"7,196 sqft",1909,8579003019,1110749214,Los Angeles,77,2,432700,24,"
Zoning:

EMC2*
		",05/27/1966,,,https://www.realtytrac.com/property/ca/el-monte/91731/3503-lexington-ave/154982863/
34.666467,-118.074538,3068 Justin Ct,Single Family Residence,"3 beds, 2 baths","2,209 sqft","7,000 sqft",2010,3170064079,1110749978,Los Angeles,49864-06,2,900504,276,"
Zoning:

LRA22*
		",09/16/2020,"$368,000","$369,000",https://www.realtytrac.com/property/ca/lancaster/93535/3068-justin-ct/150699222/
34.104572,-118.244186,3026 N North Coolidge Ave,Single Family Residence,"2 beds, 4 baths","1,678 sqft","5,499 sqft",2020,5442022038,1110750532,Los Angeles,5485,1,187200,3,"
Zoning:

LACM
		",09/18/2020,"$820,000","$850,000",https://www.realtytrac.com/property/ca/los-angeles/90039/3026-n-north-coolidge-ave/154749189/
34.082283,-118.182022,4750 Templeton St # 1222,Condominium,"2 beds, 3 baths","1,340 sqft",0.65 acres,1995,5213032063,1110753892,Los Angeles,50665,1,201401,1,"
Zoning:

LAR3
		",09/16/2020,"$469,000","$456,000",https://www.realtytrac.com/property/ca/los-angeles/90032/4750-templeton-st-1222/612419/
34.105105,-118.313404,1860 N Wilton Pl,"Duplex (2 units, any combination)","6 beds, 2 baths","3,044 sqft","4,913 sqft",1920,5544002042,1110722585,Los Angeles,MORGANS HOLLYWOOD TR,2,190301,28,"
Zoning:

LARD1.5
		",09/16/2020,"$1,075,000","$1,343,000",https://www.realtytrac.com/property/ca/los-angeles/90028/1860-n-wilton-pl/148937828/
34.156609,-118.444993,4719 Tyrone Ave,Single Family Residence,"3 beds, 2 baths","1,754 sqft","8,859 sqft",1955,2248002015,1110723353,Los Angeles,8294,3,128702,16,"
Zoning:

LAR1
		",09/16/2020,"$1,222,500","$1,213,000",https://www.realtytrac.com/property/ca/sherman-oaks/91423/4719-tyrone-ave/51954059/
34.188729,-118.560529,19608 Hamlin St,Single Family Residence,"3 beds, 2 baths","1,377 sqft","6,616 sqft",1956,2132012023,1110723369,Los Angeles,20652,1,134901,77,"
Zoning:

LAR1
		",09/16/2020,"$715,000","$629,000",https://www.realtytrac.com/property/ca/reseda/91335/19608-hamlin-st/45951425/
33.939722,-118.029544,10241 Victoria Ave,Single Family Residence,"4 beds, 2 baths","1,676 sqft","7,933 sqft",1950,8156019001,1110725154,Los Angeles,15017,1,503202,22,"
Zoning:

LCR1*
		",09/16/2020,"$661,000","$624,000",https://www.realtytrac.com/property/ca/whittier/90604/10241-victoria-ave/154719810/
33.974862,-118.303477,1531 W Florence Ave,"Warehouse, Storage",,"2,490 sqft","3,212 sqft",1980,6015034023,1110726496,Los Angeles,4580,3,237402,288,"
Zoning:

LAC2
		",09/16/2020,"$540,000",,https://www.realtytrac.com/property/ca/los-angeles/90047/1531-w-florence-ave/16533009/
33.945856,-118.218031,3020 Nebraska Ave,"Duplex (2 units, any combination)","2 beds, 2 baths","1,908 sqft","5,035 sqft",1948,6206011012,1110727008,Los Angeles,4753,2,535605,111,"
Zoning:

SGCM-R4*
		",09/16/2020,"$1,775,000","$572,000",https://www.realtytrac.com/property/ca/south-gate/90280/3020-nebraska-ave/54808211/
34.626538,-118.318747,10620 Elizabeth Lake Rd,Single Family Residence,"5 beds, 7 baths","5,624 sqft",9.17 acres,2005,3215004023,1110727057,Los Angeles,,1,901213,,"
Zoning:

LCA22*
		",09/16/2020,"$1,050,000",,https://www.realtytrac.com/property/ca/leona-valley/93551/10620-elizabeth-lake-rd/142451441/
34.159767,-118.01154,426 Highland Pl,Single Family Residence,"3 beds, 2 baths","1,282 sqft","6,057 sqft",1930,8503017025,1110727063,Los Angeles,8569,3,430301,15,"
Zoning:

MORF*
		",07/18/2006,,"$938,000",https://www.realtytrac.com/property/ca/monrovia/91016/426-highland-pl/154973522/
34.555313,-118.083213,2554 Olive Dr # 36,Condominium,"2 beds, 2 baths",853 sqft,1.66 acres,1986,3053051419,1110727331,Los Angeles,44050,2,910715,2,"
Zoning:

PDRPD15U*
		",09/16/2020,"$177,000","$180,000",https://www.realtytrac.com/property/ca/palmdale/93550/2554-olive-dr-36/51871790/
34.4808,-117.8097,Vac/vic 183 Ste/ave Z4,Residential - Vacant Land,,,2.27 acres,,3062006042,1110727390,Los Angeles,,2,911001,10,"
Zoning:

LCA11*
		",09/16/2020,"$8,000",,https://www.realtytrac.com/property/ca/mount-waterman/93544/vacvic-183-steave-z4/241230500/
34.169116,-118.627437,5426 Royer Ave,Single Family Residence,"4 beds, 3 baths","3,562 sqft","5,396 sqft",1953,2042008047,1110727395,Los Angeles,9545,1,137000,35,"
Zoning:

LAR1
		",09/16/2020,"$952,500","$1,150,000",https://www.realtytrac.com/property/ca/woodland-hills/91367/5426-royer-ave/9785145/
34.610614,-118.193063,3525 Parkmeadow Ct,Single Family Residence,"4 beds, 3 baths","3,054 sqft","6,821 sqft",2000,3001113026,1110727826,Los Angeles,52848,1,910210,26,"
Zoning:

PDSP
		",09/16/2020,"$605,000","$561,000",https://www.realtytrac.com/property/ca/palmdale/93551/3525-parkmeadow-ct/19689451/
34.03414,-118.49509,631 15th St,Single Family Residence,"2 beds, 2 baths","1,715 sqft","7,499 sqft",1939,4279026017,1110727887,Los Angeles,5119,5,701201,18,"
Zoning:

SMR1*
		",09/16/2020,"$3,275,000","$2,533,000",https://www.realtytrac.com/property/ca/santa-monica/90402/631-15th-st/154550648/
34.042582,-118.294062,1704 S Catalina St,Single Family Residence,"2 beds, 1 bath",910 sqft,"4,723 sqft",1901,5075020030,1110728284,Los Angeles,ROSS & DIXONS TR,2,221220,75,"
Zoning:

LARD1.5
		",09/16/2020,"$725,000","$559,000",https://www.realtytrac.com/property/ca/los-angeles/90006/1704-s-catalina-st/53145675/
34.262795,-118.307656,10646 Rhodesia Ave,Single Family Residence,"2 beds, 1 bath",840 sqft,"4,480 sqft",1939,2556017003,1110728659,Los Angeles,6443,4,103102,273,"
Zoning:

LAR1
		",09/16/2020,"$565,000","$538,000",https://www.realtytrac.com/property/ca/sunland/91040/10646-rhodesia-ave/27073204/
33.785712,-118.163027,1468 Junipero Ave,Single Family Residence,"3 beds, 1 bath",883 sqft,"4,571 sqft",1922,7260016001,1110729229,Los Angeles,1577,1,575102,50,"
Zoning:

LBR2N
		",09/16/2020,"$470,000","$483,000",https://www.realtytrac.com/property/ca/long-beach/90804/1468-junipero-ave/25976334/
34.264144,-118.460913,15100 Chatsworth St # B,Condominium,"2 beds, 3 baths","1,300 sqft",2.91 acres,1980,2649004037,1110729690,Los Angeles,35827,3,109604,,"
Zoning:

LARD5
		",09/16/2020,"$415,000","$362,000",https://www.realtytrac.com/property/ca/mission-hills/91345/15100-chatsworth-st-b/150196004/
34.031331,-118.4863,1802 California Ave,Condominium,"2 beds, 3 baths","1,671 sqft","8,007 sqft",1980,4276009040,1110729997,Los Angeles,36676,1,701501,,"
Zoning:

SMR2*
		",09/16/2020,"$1,580,000","$1,418,000",https://www.realtytrac.com/property/ca/santa-monica/90403/1802-california-ave/51724025/
34.19718,-118.585114,20728 Hart St,Single Family Residence,"4 beds, 3 baths","1,627 sqft","7,569 sqft",1954,2137024002,1110730046,Los Angeles,14756,1,134002,108,"
Zoning:

LARS
		",09/16/2020,"$515,000","$657,000",https://www.realtytrac.com/property/ca/winnetka/91306/20728-hart-st/11310114/
33.962416,-118.435271,7912 W 79th St,Single Family Residence,"3 beds, 3 baths","2,527 sqft","5,002 sqft",1963,4115029019,1110730059,Los Angeles,9809,1,276601,3,"
Zoning:

LAR1
		",09/16/2020,"$1,910,000","$1,875,000",https://www.realtytrac.com/property/ca/playa-del-rey/90293/7912-w-79th-st/154500885/
33.855916,-118.143801,5439 Pimenta Ave,Single Family Residence,"2 beds, 1 bath",810 sqft,"5,152 sqft",1950,7159017010,1110730549,Los Angeles,14592,1,570701,377,"
Zoning:

LKR1YY
		",09/16/2020,"$615,000","$592,000",https://www.realtytrac.com/property/ca/lakewood/90712/5439-pimenta-ave/52972955/
34.611034,-118.185088,40106 Castana Ln,Single Family Residence,"3 beds, 2 baths","2,019 sqft","7,715 sqft",1991,3001074023,1110731287,Los Angeles,46784,1,910210,58,"
Zoning:

LCA210-A22*
		",09/16/2020,"$465,000","$448,000",https://www.realtytrac.com/property/ca/palmdale/93551/40106-castana-ln/45851651/
34.046803,-118.350104,1445 S Redondo Blvd,Single Family Residence,"3 beds, 2 baths","1,437 sqft","6,359 sqft",1925,5070015038,1110732332,Los Angeles,1740,2,217100,37,"
Zoning:

LARD1.5
		",09/16/2020,"$950,000","$998,000",https://www.realtytrac.com/property/ca/los-angeles/90019/1445-s-redondo-blvd/19925313/
34.192614,-118.362547,6716 Clybourn Ave # 122,Condominium,"2 beds, 1 bath",903 sqft,5.65 acres,1982,2412031106,1110733607,Los Angeles,37718,1,123103,2,"
Zoning:

LARD1.5
		",09/16/2020,"$413,000","$320,000",https://www.realtytrac.com/property/ca/north-hollywood/91606/6716-clybourn-ave-122/43993710/
33.987773,-118.296018,1201 W 59th St,Single Family Residence,"3 beds, 1 bath","1,667 sqft","4,922 sqft",1912,6003007016,1110734023,Los Angeles,1266,1,237201,121,"
Zoning:

LAR2
		",09/16/2020,"$645,000","$442,000",https://www.realtytrac.com/property/ca/los-angeles/90044/1201-w-59th-st/24491263/
33.833614,-118.343888,3305 Onrado St,Single Family Residence,"3 beds, 2 baths","1,333 sqft","5,760 sqft",1955,7362005021,1110734477,Los Angeles,18747,3,650401,143,"
Zoning:

TORR-LO
		",09/16/2020,"$835,000","$891,000",https://www.realtytrac.com/property/ca/torrance/90503/3305-onrado-st/27075619/
33.832942,-118.360141,21517 Ladeene Ave,Single Family Residence,"6 beds, 2 baths","1,560 sqft","5,401 sqft",1956,7525019015,1110734503,Los Angeles,21676,2,650701,369,"
Zoning:

TORR-LO
		",09/16/2020,"$1,030,000","$1,040,000",https://www.realtytrac.com/property/ca/torrance/90503/21517-ladeene-ave/154914861/
34.17727,-118.458866,5851 Saloma Ave,Single Family Residence,"3 beds, 2 baths","1,274 sqft","6,752 sqft",1950,2243015023,1110734945,Los Angeles,16379,3,128400,71,"
Zoning:

LAR1
		",09/16/2020,"$775,000","$818,000",https://www.realtytrac.com/property/ca/van-nuys/91411/5851-saloma-ave/22380207/
33.949375,-118.202627,9317 San Juan Ave,Single Family Residence,"2 beds, 1 bath",897 sqft,"4,839 sqft",1941,6203002030,1110735308,Los Angeles,5280,1,535804,963,"
Zoning:

SGR3YY
		",09/16/2020,"$420,000","$405,000",https://www.realtytrac.com/property/ca/south-gate/90280/9317-san-juan-ave/52964368/
34.030584,-118.307492,2706 S Hobart Blvd,Single Family Residence,"5 beds, 3 baths","2,275 sqft","6,650 sqft",1905,5053013002,1110735814,Los Angeles,HALL CHAS VICTOR TR,2,222200,2,"
Zoning:

LAR1
		",09/16/2020,"$750,000","$854,000",https://www.realtytrac.com/property/ca/los-angeles/90018/2706-s-hobart-blvd/154633666/
34.072026,-118.306339,158 S Serrano Ave,Single Family Residence,"3 beds, 2 baths","1,875 sqft","8,026 sqft",1908,5517012012,1110736597,Los Angeles,HOLMES-WALTON COS WESTMINSTER,2,211410,12,"
Zoning:

LAR1
		",09/16/2020,"$1,150,000","$1,146,000",https://www.realtytrac.com/property/ca/los-angeles/90004/158-s-serrano-ave/44870536/
34.092444,-118.28586,1155 N Commonwealth Ave,Single Family Residence,"1 bed, 2 baths",696 sqft,"6,250 sqft",1911,5542025025,1110736659,Los Angeles,CITY BOUNDARY TR,2,191301,24,"
Zoning:

LAR2
		",09/16/2020,"$1,039,000","$848,000",https://www.realtytrac.com/property/ca/los-angeles/90029/1155-n-commonwealth-ave/10888310/
34.150818,-118.424103,13331 Moorpark St # 126,Condominium,"2 beds, 2 baths","1,346 sqft",1.16 acres,1982,2360013031,1110737040,Los Angeles,32058,1,141101,1,"
Zoning:

LAR3
		",09/16/2020,"$560,000","$561,000",https://www.realtytrac.com/property/ca/sherman-oaks/91423/13331-moorpark-st-126/12554310/
34.162826,-118.301395,312 Thompson Ave # 105,Condominium,"2 beds, 3 baths","1,138 sqft","7,909 sqft",1989,5625006032,1110737080,Los Angeles,46366,1,301602,1,"
Zoning:

GLR3YY
		",09/16/2020,"$572,000","$541,000",https://www.realtytrac.com/property/ca/glendale/91201/312-thompson-ave-105/40316011/
34.092707,-118.371864,1233 N Flores St # 103,Condominium,"2 beds, 2 baths","1,054 sqft","9,059 sqft",1967,5554025154,1110737540,Los Angeles,37594,1,700300,1,"
Zoning:

WDR4*
		",09/16/2020,"$669,000","$689,000",https://www.realtytrac.com/property/ca/west-hollywood/90069/1233-n-flores-st-103/40279080/
34.149402,-118.013936,221 Violet Ave # A,Condominium,"3 beds, 3 baths","1,138 sqft","8,025 sqft",1994,8505021050,1110737559,Los Angeles,51206,4,431001,2,"
Zoning:

MORH*
		",09/16/2020,"$565,000","$501,000",https://www.realtytrac.com/property/ca/monrovia/91016/221-violet-ave-a/3074907/
34.17099,-118.137966,616 E Ladera St,Single Family Residence,"3 beds, 3 baths","1,632 sqft","5,196 sqft",1989,5838037010,1110737966,Los Angeles,THORNTON & MORSE TR,2,461501,34,"
Zoning:

PSR6
		",09/16/2020,"$800,000","$758,000",https://www.realtytrac.com/property/ca/pasadena/91104/616-e-ladera-st/29427127/
34.262437,-118.337957,9442 Hillrose St,Single Family Residence,"1 bed, 1 bath",550 sqft,0.63 acres,1947,2549014001,1110738462,Los Angeles,5776,2,103300,29,"
Zoning:

LARE40
		",09/16/2020,"$660,000","$607,000",https://www.realtytrac.com/property/ca/sunland/91040/9442-hillrose-st/152911113/
34.029521,-117.916612,703 Ashcomb Dr,Single Family Residence,"4 beds, 2 baths","1,181 sqft","6,847 sqft",1957,8248031008,1110738892,Los Angeles,20443,3,407801,31,"
Zoning:

LCA106
		",09/16/2020,"$589,000","$580,000",https://www.realtytrac.com/property/ca/la-puente/91744/703-ashcomb-dr/40272996/
33.782158,-118.37811,26815 Basswood Ave,Single Family Residence,"3 beds, 2 baths","1,538 sqft","8,401 sqft",1957,7578006002,1110739742,Los Angeles,21351,1,670411,2,"
Zoning:

RPRS8000*
		",09/16/2020,"$1,230,000","$1,157,000",https://www.realtytrac.com/property/ca/rancho-palos-verdes/90275/26815-basswood-ave/154578667/
33.919344,-118.092394,12209 Longworth Ave,Single Family Residence,"3 beds, 1 bath","1,056 sqft","5,524 sqft",1952,8022032011,1110741073,Los Angeles,16362,1,550202,59,"
Zoning:

NOR105
		",09/16/2020,"$465,000","$468,000",https://www.realtytrac.com/property/ca/norwalk/90650/12209-longworth-ave/34814449/
34.168623,-118.633132,23225 Mariano St,Single Family Residence,"3 beds, 2 baths","1,436 sqft","11,270 sqft",1955,2044002054,1110741498,Los Angeles,9545,1,137000,78,"
Zoning:

LARS
		",09/16/2020,"$875,000","$851,000",https://www.realtytrac.com/property/ca/woodland-hills/91367/23225-mariano-st/19660927/
