latitude,longitude,address,property_type,rooms,home_size,lot_size,year_built,parcel_number,realtyID,county,subdivision,census,tract,lot,zoning,date,sale_price,estimated_value,sex_offenders,crime_index,enviornmental_hazards,natural_disasters,school_quality,url
33.77198,-118.200974,707 W 4th St # 8,Condominium,"1 bed, 1 bath",640 sqft,"16,127 sqft",1988,7278024097,1114956513,Los Angeles,44720,3,575901,1,"
Zoning:

LBPD14
		",01/26/2021,"$310,000","$343,400",6 Found,Slightly High,15 Found,1 Found,Average,https://www.realtytrac.com/property/ca/long-beach/90802/707-w-4th-st-8/2956636/
34.134521,-118.016407,1535 Venice Ave,Single Family Residence,"3 beds, 2 baths","1,598 sqft","7,382 sqft",1959,8507016039,1114956569,Los Angeles,24642,1,430902,25,"
Zoning:

MORL*
		",01/26/2021,"$865,000","$961,400",1 Found,Low,6 Found,1 Found,Above Average,https://www.realtytrac.com/property/ca/monrovia/91016/1535-venice-ave/49078084/
34.020419,-118.338601,3683 Wellington Rd,Single Family Residence,"4 beds, 2 baths","2,025 sqft","6,240 sqft",1938,5046027007,1114956587,Los Angeles,11100,1,219500,178,"
Zoning:

LAR1
		",12/13/2004,"$191,500","$1,183,000",24 Found,Slightly High,10 Found,2 Found,Poor,https://www.realtytrac.com/property/ca/los-angeles/90016/3683-wellington-rd/141319939/
34.088196,-118.015629,4612 Peck Rd # F,Condominium,"2 beds, 3 baths","1,170 sqft",1.03 acres,2017,8547024061,1114956850,Los Angeles,,4,432601,1,"
Zoning:

EMC3*
		",01/26/2021,"$500,000","$605,400",10 Found,Moderate,6 Found,1 Found,Above Average,https://www.realtytrac.com/property/ca/el-monte/91732/4612-peck-rd-f/323428771/
34.138294,-118.400564,12301 Viewcrest Rd,Single Family Residence,"3 beds, 2 baths","2,542 sqft",0.75 acres,1935,2376008007,1114957217,Los Angeles,1,1,143901,14,"
Zoning:

LARE15
		",01/26/2021,"$3,200,000","$1,915,000",1 Found,,2 Found,1 Found,Excellent,https://www.realtytrac.com/property/ca/north-hollywood/91604/12301-viewcrest-rd/154418312/
34.100575,-118.229931,3017 Future St,Single Family Residence,"3 beds, 2 baths","1,074 sqft","4,689 sqft",1922,5455014008,1114958562,Los Angeles,4417,1,185203,109,"
Zoning:

LAR1
		",01/26/2021,"$794,000","$536,100",14 Found,Slightly High,7 Found,1 Found,Average,https://www.realtytrac.com/property/ca/los-angeles/90065/3017-future-st/154752151/
34.008434,-118.486478,2002 4th St # 313,Condominium,"2 beds, 2 baths",986 sqft,0.6 acres,1962,4289013086,1114960298,Los Angeles,51146,4,702002,1,"
Zoning:

SMOP2*
		",01/26/2021,"$899,000","$963,400",2 Found,Moderate,9 Found,1 Found,Excellent,https://www.realtytrac.com/property/ca/santa-monica/90405/2002-4th-st-313/25671163/
33.774451,-118.182611,601 Olive Ave # L,Condominium,"2 beds, 1 bath",973 sqft,"7,548 sqft",1954,7274019053,1114961150,Los Angeles,TOWNSITE/LONG BEACH,1,576200,27,"
Zoning:

LBR4N
		",01/26/2021,"$440,000","$477,300",26 Found,Slightly High,12 Found,1 Found,Average,https://www.realtytrac.com/property/ca/long-beach/90802/601-olive-ave-l/154885027/
33.953496,-118.439481,8828 Pershing Dr # 133,Condominium,"2 beds, 3 baths","1,754 sqft",1.96 acres,1981,4118014044,1114961157,Los Angeles,32000,2,276603,,"
Zoning:

LAR3
		",01/26/2021,"$309,500","$829,600",0 Found,Moderate,4 Found,1 Found,Average,https://www.realtytrac.com/property/ca/playa-del-rey/90293/8828-pershing-dr-133/40250614/
33.782398,-118.388253,1649 Cataluna Pl,Single Family Residence,"4 beds, 3 baths","2,272 sqft","7,194 sqft",1962,7545029022,1114961420,Los Angeles,7538,1,670326,7,"
Zoning:

PVR1YY
		",01/26/2021,"$1,500,000","$1,937,000",1 Found,Very Low,3 Found,2 Found,Excellent,https://www.realtytrac.com/property/ca/palos-verdes-estates/90274/1649-cataluna-pl/154919017/
34.226473,-118.213212,5354 Palm Dr,Single Family Residence,"3 beds, 3 baths","2,748 sqft","9,536 sqft",1976,5864013005,1114962766,Los Angeles,4598,1,460600,10,"
Zoning:

LFR115000*
		",01/26/2021,"$2,157,500","$2,164,000",0 Found,Very Low,2 Found,1 Found,Excellent,https://www.realtytrac.com/property/ca/la-canada-flintridge/91011/5354-palm-dr/52781210/
34.069945,-117.969969,3010 Vineland Ave # 4,Condominium,"1 bed, 1 bath",576 sqft,3.03 acres,1963,8555019028,1114963054,Los Angeles,28929,1,404802,,"
Zoning:

BPR3*
		",01/26/2021,"$220,000","$276,800",7 Found,Moderate,5 Found,1 Found,Average,https://www.realtytrac.com/property/ca/baldwin-park/91706/3010-vineland-ave-4/8982140/
34.158915,-118.592523,4919 Nofral Rd,Single Family Residence,"4 beds, 4 baths","3,143 sqft","7,036 sqft",2000,2167012022,1114964434,Los Angeles,6170,2,137502,4373,"
Zoning:

LAR1
		",01/26/2021,"$1,092,000","$1,335,000",3 Found,Very Low,4 Found,1 Found,Above Average,https://www.realtytrac.com/property/ca/woodland-hills/91364/4919-nofral-rd/17790959/
34.015945,-118.496971,1338 3rd Street Promenade,"Store, Retail Outlet ",,"19,704 sqft","6,690 sqft",1937,4291013006,1114964499,Los Angeles,SANTA MONICA,2,701902,H,"
Zoning:

SMBSC1*
		",05/17/2012,,,2 Found,Moderate,9 Found,1 Found,Excellent,https://www.realtytrac.com/property/ca/santa-monica/90401/1338-3rd-street-promenade/154555874/
33.969923,-118.120928,8516 Rives Ave,Single Family Residence,"3 beds, 2 baths","1,145 sqft","5,360 sqft",1949,6367004007,1114965353,Los Angeles,16032,2,550700,37,"
Zoning:

DOR105
		",01/26/2021,"$605,000","$725,500",10 Found,Moderate,12 Found,2 Found,Above Average,https://www.realtytrac.com/property/ca/downey/90240/8516-rives-ave/24810536/
34.246286,-118.614019,9657 Nita Ave,Single Family Residence,"5 beds, 4 baths","2,569 sqft","16,369 sqft",1962,2727007001,1114967355,Los Angeles,16365,1,113237,1,"
Zoning:

LARA
		",01/26/2021,"$1,325,000","$879,100",3 Found,,4 Found,1 Found,Average,https://www.realtytrac.com/property/ca/chatsworth/91311/9657-nita-ave/24796609/
33.982515,-118.055882,11503 See Dr,Single Family Residence,"2 beds, 1 bath","1,320 sqft","5,704 sqft",1936,8171028028,1114969114,Los Angeles,10411,5,501002,128,"
Zoning:

LCR1*
		",01/26/2021,"$560,000","$595,000",10 Found,Moderate,15 Found,1 Found,Average,https://www.realtytrac.com/property/ca/whittier/90606/11503-see-dr/154945148/
34.5976,-117.8398,Vac/ave 08/vic 150 Ste,MISCELLANEOUS   (Vacant Land)     ,,,10.01 acres,,3029006028,1114969151,Los Angeles,,3,0,18,"
Zoning:

LCA12*
		",01/26/2021,"$17,500",,2 Found,,1 Found,1 Found,Average,https://www.realtytrac.com/property/ca/alpine-butte/93591/vacave-08vic-150-ste/241221137/
34.099721,-118.131851,509 N 1st St # A,"Quadplex (4 Units, Any Combination)","8 beds, 6 baths","5,390 sqft","8,272 sqft",1966,5337011002,1114969727,Los Angeles,4572,2,480304,18,"
Zoning:

ALRPD*
		",01/26/2021,"$625,000","$1,536,000",2 Found,Low,15 Found,1 Found,Excellent,https://www.realtytrac.com/property/ca/alhambra/91801/509-n-1st-st-a/154616738/
34.082279,-118.331566,651 Wilcox Ave # 1a,Condominium,"2 beds, 3 baths","1,613 sqft",2.73 acres,1972,5523002100,1114970496,Los Angeles,33990,2,192300,1,"
Zoning:

LAR3
		",01/26/2021,"$875,000","$641,500",7 Found,Slightly High,9 Found,2 Found,Above Average,https://www.realtytrac.com/property/ca/los-angeles/90004/651-wilcox-ave-1a/33621924/
33.771943,-118.11426,421 Burlington Ct # 101,Planned Unit Development (PUD),"2 beds, 3 baths","1,847 sqft","2,111 sqft",1982,7237026001,1114971469,Los Angeles,35910,1,577602,65,"
Zoning:

LBPD1
		",01/26/2021,"$792,500","$799,000",2 Found,Slightly High,5 Found,2 Found,Above Average,https://www.realtytrac.com/property/ca/long-beach/90803/421-burlington-ct-101/18010894/
33.939325,-118.317022,10625 Haas Ave,"Duplex (2 units, any combination)","5 beds, 2 baths","1,769 sqft","5,943 sqft",1947,6058016022,1114971965,Los Angeles,13235,2,600400,20,"
Zoning:

LCR2YY
		",01/26/2021,"$762,500","$740,700",18 Found,Slightly High,4 Found,1 Found,Poor,https://www.realtytrac.com/property/ca/los-angeles/90047/10625-haas-ave/7541872/
33.973074,-118.365599,852 W Beach Ave # 2,Condominium,"2 beds, 2 baths",973 sqft,0.58 acres,1971,4017017042,1114973409,Los Angeles,36830,2,601302,1,"
Zoning:

INR3*
		",01/26/2021,"$410,000","$441,600",11 Found,Moderately High,8 Found,1 Found,Poor,https://www.realtytrac.com/property/ca/inglewood/90302/852-w-beach-ave-2/30079054/
34.112929,-117.892672,18412 E Orkney St,Single Family Residence,"4 beds, 2 baths","1,161 sqft","7,391 sqft",1955,8622006005,1115042303,Los Angeles,20041,3,404100,26,"
Zoning:

LCA106
		",01/27/2021,"$480,000","$577,200",9 Found,Moderate,6 Found,1 Found,Average,https://www.realtytrac.com/property/ca/azusa/91702/18412-e-orkney-st/15852436/
33.876276,-118.405418,3205 Highland Ave,"Duplex (2 units, any combination)","4 beds, 3 baths","1,809 sqft","3,300 sqft",1940,4181018015,1114992242,Los Angeles,SHAKESPEARE,1,621004,17,"
Zoning:

HBR2*
		",07/27/2018,"$2,935,000",,2 Found,Low,4 Found,1 Found,Excellent,https://www.realtytrac.com/property/ca/hermosa-beach/90254/3205-highland-ave/154519613/
34.010618,-118.476289,2324 11th St,"Duplex (2 units, any combination)","4 beds, 2 baths","1,575 sqft","5,831 sqft",1948,4284012001,1114953169,Los Angeles,2261,5,702201,57,"
Zoning:

SMR1*
		",01/25/2021,"$1,850,000","$971,500",3 Found,Moderate,9 Found,1 Found,Excellent,https://www.realtytrac.com/property/ca/santa-monica/90405/2324-11th-st/154553072/
34.14216,-117.835171,419 Oak Knoll Dr,Single Family Residence,"4 beds, 3 baths","2,980 sqft","16,117 sqft",1964,8659026003,1114954968,Los Angeles,24024,3,400404,8,"
Zoning:

GDE6
		",01/25/2021,"$1,275,000","$1,250,000",1 Found,Low,2 Found,1 Found,Excellent,https://www.realtytrac.com/property/ca/glendora/91741/419-oak-knoll-dr/154992932/
33.97053,-118.261219,751 E 76th Pl,"Duplex (2 units, any combination)","2 beds, 2 baths","1,040 sqft","5,105 sqft",1937,6023018018,1114955572,Los Angeles,6,3,239502,647,"
Zoning:

LAR2
		",01/25/2021,"$375,000","$511,500",44 Found,Slightly High,20 Found,1 Found,Poor,https://www.realtytrac.com/property/ca/los-angeles/90001/751-e-76th-pl/43737199/
33.925267,-118.140179,12250 Planett Ave,Single Family Residence,"4 beds, 3 baths","2,068 sqft","8,559 sqft",1981,6261010063,1114955604,Los Angeles,,4,551202,2,"
Zoning:

DOR105*
		",06/17/1982,"$160,000","$817,800",11 Found,Moderate,6 Found,1 Found,Average,https://www.realtytrac.com/property/ca/downey/90242/12250-planett-ave/53146986/
33.78716,-118.375708,5512 Montemalaga Dr,Single Family Residence,"3 beds, 2 baths","1,893 sqft","13,918 sqft",1963,7577002023,1114955616,Los Angeles,24530,2,670411,9,"
Zoning:

RPRS8000*
		",01/25/2021,"$1,225,000","$1,209,000",0 Found,Very Low,3 Found,2 Found,Excellent,https://www.realtytrac.com/property/ca/rancho-palos-verdes/90275/5512-montemalaga-dr/51702846/
34.159383,-118.683508,5431 Villawood Cir,Planned Unit Development (PUD),"6 beds, 7 baths","5,342 sqft","15,912 sqft",1991,2049038078,1114955657,Los Angeles,39509,2,800203,110,"
Zoning:

LCA21*
		",01/25/2021,"$2,300,000","$2,458,000",2 Found,Very Low,2 Found,1 Found,Above Average,https://www.realtytrac.com/property/ca/calabasas/91302/5431-villawood-cir/5108023/
33.975445,-118.368438,530 Evergreen St # 3,Condominium,"2 beds, 2 baths","1,087 sqft","18,729 sqft",1961,4017004126,1114957001,Los Angeles,652,2,601302,,"
Zoning:

INR3YY
		",01/25/2021,"$415,000","$431,100",10 Found,Moderately High,12 Found,1 Found,Poor,https://www.realtytrac.com/property/ca/inglewood/90302/530-evergreen-st-3/18847607/
33.835794,-118.299814,21221 Normandie Ave,Single Family Residence,"3 beds, 2 baths","1,225 sqft","5,879 sqft",1961,7349021001,1114957034,Los Angeles,25497,4,292000,1,"
Zoning:

LAR1
		",01/25/2021,"$755,000","$559,600",26 Found,Low,15 Found,1 Found,Average,https://www.realtytrac.com/property/ca/torrance/90501/21221-normandie-ave/152223832/
34.17377,-118.140614,485 E Elizabeth St,Single Family Residence,"2 beds, 2 baths","1,164 sqft","8,399 sqft",1905,5838031025,1114957772,Los Angeles,BRENT BROS & CROWELLS,3,461501,42,"
Zoning:

PSR6
		",01/25/2021,"$965,000","$1,025,000",5 Found,Moderate,2 Found,1 Found,Average,https://www.realtytrac.com/property/ca/pasadena/91104/485-e-elizabeth-st/17428322/
34.151321,-118.222935,1992 E Glenoaks Blvd,Single Family Residence,"3 beds, 2 baths","1,734 sqft","6,344 sqft",1981,5672007036,1114957790,Los Angeles,,1,300902,A,"
Zoning:

GLR1*
		",01/25/2021,"$995,000","$1,237,000",2 Found,Low,2 Found,1 Found,Above Average,https://www.realtytrac.com/property/ca/glendale/91206/1992-e-glenoaks-blvd/24350225/
33.991231,-118.080119,9460 Townley Dr,Single Family Residence,"3 beds, 2 baths","1,554 sqft","5,807 sqft",1950,6376016010,1114958484,Los Angeles,14374,2,500900,10,"
Zoning:

PRSF*
		",12/06/2018,"$500,000","$681,700",9 Found,Moderate,3 Found,2 Found,Poor,https://www.realtytrac.com/property/ca/pico-rivera/90660/9460-townley-dr/25231274/
34.055908,-118.479483,12315 14th Helena Dr,Single Family Residence,"4 beds, 3 baths","3,019 sqft","15,499 sqft",1950,4405041030,1114959843,Los Angeles,5666,3,264000,36,"
Zoning:

LARS
		",01/25/2021,"$4,950,000","$2,615,000",0 Found,Slightly High,6 Found,1 Found,Excellent,https://www.realtytrac.com/property/ca/los-angeles/90049/12315-14th-helena-dr/154606007/
34.616824,-118.405283,15602 Calle Hermosa,Single Family Residence,"3 beds, 2 baths","1,180 sqft","4,992 sqft",1987,3227030016,1114960545,Los Angeles,6639,1,920012,18,"
Zoning:

LCR17500*
		",01/25/2021,"$330,000","$306,400",0 Found,,3 Found,3 Found,Above Average,https://www.realtytrac.com/property/ca/green-valley/91390/15602-calle-hermosa/140795911/
33.95842,-118.10069,8547 Eglise Ave,Single Family Residence,"3 beds, 2 baths","1,590 sqft","5,270 sqft",1950,6386020022,1114961968,Los Angeles,15886,4,502601,26,"
Zoning:

PRSF*
		",01/25/2021,"$555,000","$518,800",15 Found,Moderate,6 Found,2 Found,Average,https://www.realtytrac.com/property/ca/pico-rivera/90660/8547-eglise-ave/52973656/
34.127164,-118.157724,1078 S Orange Grove Blvd,Condominium,"3 beds, 4 baths","2,544 sqft","20,405 sqft",1975,5719010041,1114964791,Los Angeles,25461,2,463900,,"
Zoning:

PSR1
		",01/25/2021,"$1,780,000","$1,815,000",1 Found,Moderate,4 Found,1 Found,Above Average,https://www.realtytrac.com/property/ca/pasadena/91105/1078-s-orange-grove-blvd/28418669/
34.03846,-118.364212,2119 S Curson Ave,"Duplex (2 units, any combination)","4 beds, 2 baths","1,563 sqft","5,543 sqft",1937,5064018022,1114964818,Los Angeles,5770,5,218300,35,"
Zoning:

LARD2
		",01/25/2021,,"$977,500",14 Found,Slightly High,8 Found,1 Found,Average,https://www.realtytrac.com/property/ca/los-angeles/90016/2119-s-curson-ave/38717849/
34.11021,-118.33289,6821 Iris Cir # 25,"Duplex (2 units, any combination)","4 beds, 3 baths","3,354 sqft","5,160 sqft",1923,5576002026,1114965498,Los Angeles,4565,1,189600,29,"
Zoning:

LAR1
		",01/25/2021,"$492,500","$1,906,000",2 Found,Slightly High,3 Found,1 Found,Above Average,https://www.realtytrac.com/property/ca/los-angeles/90068/6821-iris-cir-25/20330151/
34.436123,-118.530612,26903 Avenida Terraza,Condominium,"3 beds, 3 baths","1,325 sqft",4.13 acres,1973,2808005045,1114966277,Los Angeles,27952,2,920017,1,"
Zoning:

SCUR3
		",01/25/2021,"$202,500","$452,600",1 Found,Low,10 Found,1 Found,Excellent,https://www.realtytrac.com/property/ca/santa-clarita/91350/26903-avenida-terraza/8085460/
34.044972,-118.485612,600 Moreno Ave,Single Family Residence,"4 beds, 3 baths","2,770 sqft","14,625 sqft",1926,4264006001,1114966828,Los Angeles,BRENTWOOD TERRACE,3,264302,316,"
Zoning:

LARE11
		",01/25/2021,"$5,350,000","$2,820,000",1 Found,Slightly High,5 Found,1 Found,Excellent,https://www.realtytrac.com/property/ca/los-angeles/90049/600-moreno-ave/154544836/
34.088819,-118.215569,3501 N Figueroa St,"Duplex (2 units, any combination)","2 beds, 2 baths","1,369 sqft","5,664 sqft",,5446003016,1114966847,Los Angeles,SALVATOR,3,185202,1,"
Zoning:

LARD2
		",01/25/2021,"$695,000","$387,900",23 Found,Slightly High,12 Found,1 Found,Poor,https://www.realtytrac.com/property/ca/los-angeles/90065/3501-n-figueroa-st/4568842/
34.088398,-118.42241,1124 Tower Rd,Single Family Residence,"3 beds, 5 baths","3,561 sqft","18,712 sqft",1946,4348016021,1114968206,Los Angeles,4643,1,700700,14,"
Zoning:

BHR1*
		",12/07/2020,"$6,075,000","$2,833,000",0 Found,Moderate,5 Found,1 Found,Excellent,https://www.realtytrac.com/property/ca/beverly-hills/90210/1124-tower-rd/30117090/
34.017953,-117.862436,20221 Diehl St,Single Family Residence,"3 beds, 2 baths","1,160 sqft","7,700 sqft",1964,8720003025,1114968224,Los Angeles,27883,1,403402,60,"
Zoning:

WAR17200*
		",01/25/2021,"$699,000","$767,600",3 Found,Low,4 Found,1 Found,Excellent,https://www.realtytrac.com/property/ca/walnut/91789/20221-diehl-st/54080506/
34.153517,-118.638555,4647 Park Mirasol,Planned Unit Development (PUD),"4 beds, 4 baths","2,561 sqft","5,186 sqft",1970,2068007001,1114968244,Los Angeles,28212,2,800204,1,"
Zoning:

LCRPD1000012U
		",01/25/2021,"$1,350,000","$1,300,000",0 Found,Very Low,4 Found,1 Found,Above Average,https://www.realtytrac.com/property/ca/calabasas/91302/4647-park-mirasol/154382448/
34.218093,-118.465282,15247 Lanark St,Single Family Residence,"2 beds, 1 bath",787 sqft,"5,938 sqft",1948,2209003028,1114968281,Los Angeles,15010,1,120010,328,"
Zoning:

LAR1
		",03/22/1968,"$3,500","$266,100",12 Found,,14 Found,1 Found,Average,https://www.realtytrac.com/property/ca/van-nuys/91402/15247-lanark-st/153466786/
34.077288,-118.042262,10525 Valley Blvd,"Warehouse, Storage",,0.6 acres,0.74 acres,1967,8575024047,1114969623,Los Angeles,SAN FRANCISQUITO RHO,1,432801,,"
Zoning:

EMM2*
		",01/25/2021,"$4,988,000",,5 Found,Moderate,18 Found,1 Found,Average,https://www.realtytrac.com/property/ca/el-monte/91731/10525-valley-blvd/219276186/
