latitude,longitude,home_size,lot_size,sex_offenders,crime_index,enviornmental_hazards,school_quality,bedrooms,bathrooms,geometry,neighborhood,sale_price,sale_price_cpi,age
34.701021999999995,-118.1606,1392.0,8264.0,4,Moderate,2,Average,4.0,2.0,POINT (-118.1606 34.70102199999999),585.9924054294548,623.698645180507,623.425210177275,65.0
34.174040000000005,-118.655681,2016.0,11497.0,1,Very Low,2,Excellent,4.0,2.0,POINT (-118.655681 34.17404000000001),913.0715330159154,1078.8883167408942,1078.415322559081,56.0
34.146445,-118.23024299999999,1992.0,4731.0,6,Low,3,Above Average,4.0,2.0,POINT (-118.230243 34.146445),900.964697477965,881.1923740024082,880.806051470693,97.0
34.138465999999994,-117.950174,765.0,5523.0,1,Low,7,Average,2.0,1.0,POINT (-117.950174 34.13846599999999),713.3000694928569,746.6592261534039,746.3318841437745,70.0
33.832856,-118.37137,1466.0,6477.0,0,Low,4,Excellent,4.0,2.0,POINT (-118.37137 33.832856),921.9158827709523,1129.1589790636215,1128.663945778756,65.0
33.909088,-118.059418,1984.0,5149.0,4,Moderate,12,Average,4.0,2.0,POINT (-118.059418 33.909088),654.0646784135786,896.1026726887941,895.7098133502395,64.0
33.820091999999995,-118.275325,1120.0,5737.0,9,Moderate,8,Average,3.0,2.0,POINT (-118.275325 33.820092),679.8685149672215,762.889244910426,762.5547875170041,64.0
34.47048,-118.55925500000001,2680.0,8936.0,1,Low,3,Excellent,4.0,3.0,POINT (-118.559255 34.47048),843.9603855140315,880.3408430829504,879.9548938699229,17.0
34.218846,-118.439233,960.0,5313.0,7,Low,10,Average,2.0,1.0,POINT (-118.439233 34.218846),681.6937518810225,754.983443527075,754.6524521069135,71.0
33.917408,-118.032315,1466.0,5051.0,11,Moderate,12,Above Average,4.0,3.0,POINT (-118.032315 33.917408),680.9414955576393,758.287544405155,757.9551044379409,66.0
33.84019,-118.18588500000001,1755.0,5958.0,15,Slightly High,5,Average,4.0,2.0,POINT (-118.185885 33.84019),790.8073185403072,894.4271909999159,894.0350662073548,75.0
34.239351,-118.273331,1709.0,8292.0,4,Low,2,Above Average,4.0,2.0,POINT (-118.273331 34.239351),828.935137110065,854.4003745317531,854.0257978496055,52.0
34.048118,-117.77139199999999,1248.0,7346.0,8,Moderately High,5,Average,3.0,2.0,POINT (-117.771392 34.048118),651.8299125207416,678.2329983125268,677.9356549664753,130.0
34.073133,-118.305182,1635.0,7050.0,7,Slightly High,7,Excellent,2.0,1.0,POINT (-118.305182 34.073133),954.064287146732,989.9494936611666,989.5154910461367,107.0
34.097157,-118.097406,763.0,4831.0,4,Low,11,Above Average,2.0,1.0,POINT (-118.097406 34.097157),840.8300692268291,764.8529270389178,764.5176087498801,91.0
34.004902,-117.81043999999999,1449.0,6625.0,0,Low,4,Excellent,3.0,2.0,POINT (-117.81044 34.004902),782.6737066019108,870.6319543871566,870.2502616368173,36.0
33.82000900000001,-118.17928500000001,1598.0,6311.0,7,Slightly High,22,Above Average,3.0,2.0,POINT (-118.179285 33.82000900000001),790.8073185403072,984.3779761859771,983.9464161734935,70.0
34.069146,-117.9018,1137.0,10252.0,10,Low,6,Above Average,4.0,2.0,POINT (-117.9018 34.069146),731.9389473991702,768.1145747868608,767.7778265625983,66.0
33.861792,-118.29180500000001,1061.0,5645.0,0,Moderate,26,Average,3.0,2.0,POINT (-118.291805 33.861792),710.2559651078142,777.8174593052023,777.476457250536,65.0
33.963965,-118.25995900000001,1064.0,5100.0,50,Slightly High,8,Poor,2.0,1.0,POINT (-118.259959 33.963965),643.3879615195679,640.3124237432849,640.0317051125667,91.0
33.907924,-118.07993,1086.0,6042.0,21,Moderate,6,Average,3.0,1.0,POINT (-118.07993 33.907924),654.0646784135786,717.6350047203662,717.3203871861588,71.0
33.961835,-118.402758,998.0,6093.0,2,Slightly High,9,Average,3.0,1.0,POINT (-118.402758 33.961835),1010.9409127858843,1356.4659966250535,1355.8713099329507,76.0
34.01856,-117.81818999999999,1349.0,7417.0,1,Low,3,Above Average,3.0,2.0,POINT (-117.81819 34.01856),782.6737066019108,792.4645102463579,792.1170867949925,49.0
34.065034999999995,-117.796656,1605.0,6170.0,2,Moderately High,10,Poor,4.0,2.0,POINT (-117.796656 34.06503499999999),651.8299125207416,724.568837309472,724.2511799217214,65.0
33.930194,-118.32151699999999,1417.0,5658.0,12,Slightly High,12,Average,3.0,2.0,POINT (-118.321517 33.930194),791.5244987503697,815.4753215150046,815.1178099204272,66.0
34.217314,-118.646271,2079.0,9653.0,2,Very Low,3,Excellent,3.0,2.0,POINT (-118.646271 34.217314),824.1942676003653,851.46931829632,851.096026615154,34.0
34.687967,-118.21416699999999,2818.0,6596.0,3,Moderate,2,Average,6.0,3.0,POINT (-118.214167 34.687967),585.9924054294548,696.419413859206,696.1140974277034,17.0
34.155494,-118.097001,1937.0,7271.0,2,Moderate,4,Average,3.0,2.0,POINT (-118.097001 34.155494),890.714954100597,1095.4451150103323,1094.9648621816978,79.0
34.010075,-118.059345,1100.0,6868.0,5,Moderate,5,Average,3.0,2.0,POINT (-118.059345 34.010075),795.398847569275,771.3624310270757,771.0242589139071,64.0
34.095459999999996,-118.35955200000001,1428.0,6751.0,3,Slightly High,12,Above Average,2.0,1.0,POINT (-118.359552 34.09546),1020.1367213438344,1271.2198865656562,1270.6625725222832,101.0
34.146111,-118.622074,4559.0,10678.0,0,Very Low,2,Above Average,5.0,4.0,POINT (-118.622074 34.146111),978.0210343399729,1313.3925536563697,1312.8167507426883,50.0
33.924253,-118.075392,1128.0,5684.0,9,Moderate,9,Above Average,3.0,1.0,POINT (-118.075392 33.924253),654.0646784135786,717.6350047203662,717.3203871861588,71.0
34.081069,-118.20561000000001,560.0,9719.0,17,Slightly High,8,Average,1.0,1.0,POINT (-118.20561 34.081069),639.9490407460877,927.3618495495704,926.9552859113641,97.0
34.096053000000005,-117.96619399999999,1070.0,6016.0,7,Moderate,4,Average,3.0,2.0,POINT (-117.966194 34.096053),642.9857004054883,724.568837309472,724.2511799217214,70.0
34.112887,-117.788343,2220.0,9210.0,2,Low,5,Excellent,4.0,2.0,POINT (-117.788343 34.112887),831.6171620018712,909.6702699330126,909.2714624398084,43.0
33.869103,-118.260175,2166.0,3737.0,7,Moderate,11,Poor,4.0,3.0,POINT (-118.260175 33.869103),679.8685149672215,865.4478609367522,865.0684409388396,52.0
34.008994,-118.25313600000001,640.0,1631.0,44,Slightly High,15,Poor,2.0,2.0,POINT (-118.253136 34.008994),561.3600604545999,612.3724356957945,612.1039662029912,105.0
33.773804999999996,-118.401924,2184.0,8676.0,1,Very Low,2,Excellent,4.0,3.0,POINT (-118.401924 33.773805),1074.9481337266377,1197.914855071094,1197.3896786019782,57.0
34.052194,-117.765514,990.0,6818.0,11,Moderately High,7,Poor,2.0,1.0,POINT (-117.765514 34.052194),651.8299125207416,664.8308055437865,664.5393378375994,82.0
34.684471,-118.169531,1852.0,8072.0,1,Moderate,5,Average,4.0,2.0,POINT (-118.169531 34.684471),585.9924054294548,655.7438524302,655.4563685246404,17.0
34.16744,-118.642241,2346.0,13953.0,0,Very Low,2,Excellent,5.0,2.0,POINT (-118.642241 34.16744),913.0715330159154,1024.6950765959598,1024.245841210015,58.0
33.821078,-118.212994,832.0,2552.0,30,Slightly High,9,Average,2.0,1.0,POINT (-118.212994 33.821078),790.8073185403072,710.6335201775947,710.3219721561454,50.0
34.026703000000005,-118.138676,1095.0,5489.0,17,Moderate,4,Average,3.0,1.0,POINT (-118.138676 34.026703),729.893778999062,308.2207001484488,308.08557346700974,75.0
33.998622,-117.96307900000001,1465.0,7669.0,9,Moderate,2,Excellent,4.0,2.0,POINT (-117.963079 33.998622),761.0379368126621,803.1189202104505,802.7668257715088,60.0
33.799774,-118.112918,1732.0,7746.0,5,Slightly High,3,Excellent,3.0,2.0,POINT (-118.112918 33.799774),790.8073185403072,924.6621004453465,924.2567204010292,65.0
34.076673,-117.914212,1553.0,9149.0,10,Low,3,Above Average,3.0,2.0,POINT (-117.914212 34.076673),731.9389473991702,831.8653737234168,831.5006765849664,66.0
34.057144,-117.969026,1269.0,6655.0,6,Moderate,3,Average,3.0,2.0,POINT (-117.969026 34.057144),638.5111604275775,741.6198487095663,741.2947160075861,64.0
33.942508000000004,-118.235082,1017.0,3253.0,40,Slightly High,11,Poor,3.0,1.0,POINT (-118.235082 33.942508),572.4752437210581,616.4414002968977,616.1711469340195,64.0
34.025247,-118.30655900000001,1216.0,6307.0,50,Slightly High,7,Poor,2.0,1.0,POINT (-118.306559 34.025247),708.5320236046663,916.515138991168,916.1133306468195,114.0
34.171407,-118.34316100000001,1347.0,6701.0,4,Low,4,Excellent,2.0,2.0,POINT (-118.343161 34.171407),879.8952494473324,984.3779761859771,983.9464161734935,79.0
34.247071999999996,-118.50115500000001,1780.0,8180.0,1,Low,5,Average,4.0,2.0,POINT (-118.501155 34.247072),829.6134585717247,880.3408430829504,879.9548938699229,59.0
34.109633,-118.18821499999999,1256.0,6748.0,13,Slightly High,2,Average,3.0,1.0,POINT (-118.188215 34.109633),800.2914144871164,951.8403227432635,951.4230275258745,126.0
34.144422999999996,-118.085352,1040.0,5087.0,3,Moderate,4,Average,2.0,1.0,POINT (-118.085352 34.144423),890.714954100597,908.2951062292475,907.8969016199756,80.0
33.937537,-118.185526,992.0,5410.0,15,Slightly High,15,Average,2.0,1.0,POINT (-118.185526 33.937537),673.3862223111025,703.5623639735144,703.2539160094958,80.0
34.009369,-118.28570800000001,1456.0,5402.0,68,Slightly High,9,Poor,3.0,1.0,POINT (-118.285708 34.009369),699.7046709457103,816.3945124754331,816.0365978994076,113.0
34.159482000000004,-118.25095900000001,1530.0,8567.0,0,Low,4,Above Average,3.0,2.0,POINT (-118.250959 34.159482),900.964697477965,974.6794344808964,974.2521263948888,103.0
34.006707,-118.07806399999998,825.0,6067.0,13,Moderate,9,Poor,2.0,1.0,POINT (-118.078064 34.006707),669.990299560016,758.287544405155,757.9551044379409,71.0
34.113295,-118.14215,1556.0,7458.0,2,Low,2,Excellent,3.0,3.0,POINT (-118.14215 34.113295),973.2602115284153,1161.8950038622252,1161.3856188145078,96.0
33.941857,-118.14206899999999,1186.0,10952.0,5,Moderate,9,Above Average,3.0,2.0,POINT (-118.142069 33.941857),758.3911187827508,793.7253933193772,793.3774170857189,68.0
33.960814,-118.257741,1643.0,5185.0,45,Slightly High,7,Poor,3.0,1.0,POINT (-118.257741 33.960814),643.3879615195679,710.6335201775947,710.3219721561454,90.0
34.038837,-117.92896299999998,1227.0,6561.0,6,Moderate,4,Average,3.0,2.0,POINT (-117.928963 34.038837),654.6610359028135,719.7221686178633,719.4066360525403,57.0
34.266424,-118.514096,1952.0,9489.0,4,Low,5,Average,4.0,3.0,POINT (-118.514096 34.266424),786.4228379378518,909.9450532861861,909.5461253255291,72.0
34.198739,-118.16323899999999,1622.0,10120.0,3,Moderate,4,Poor,3.0,2.0,POINT (-118.163239 34.198739),861.0586403214015,912.1403400793104,911.740449685504,55.0
33.866219,-118.042217,1248.0,4949.0,4,Low,6,Excellent,4.0,2.0,POINT (-118.042217 33.866219),819.6913030074227,659.545297913646,659.2561474207591,49.0
33.823518,-118.108325,1254.0,4842.0,4,Slightly High,4,Excellent,2.0,2.0,POINT (-118.108325 33.823518),790.8073185403072,821.5838362577492,821.2236466362732,70.0
34.136547,-118.19030500000001,1137.0,5432.0,4,Slightly High,8,Above Average,4.0,2.0,POINT (-118.190305 34.136547),857.2358407235046,934.6122190513025,934.2024767869705,90.0
34.114077,-117.70351699999999,1810.0,11518.0,0,Low,4,Excellent,3.0,2.0,POINT (-117.703517 34.114077),790.9299160441853,741.6198487095663,741.2947160075861,58.0
34.686392,-118.23931200000001,1380.0,6642.0,2,Moderate,2,Average,3.0,2.0,POINT (-118.239312 34.686392),585.9924054294548,600.0,599.7369546924511,28.0
34.189343,-118.40607,945.0,5425.0,8,Low,5,Average,2.0,1.0,POINT (-118.40607 34.189343),867.1138313700914,974.6794344808964,974.2521263948888,78.0
33.958822999999995,-118.271417,1476.0,6260.0,105,Slightly High,11,Poor,3.0,2.0,POINT (-118.271417 33.958823),609.1339333745709,717.6350047203662,717.3203871861588,80.0
34.019133000000004,-117.979569,1510.0,10075.0,5,Moderate,19,Average,3.0,2.0,POINT (-117.979569 34.019133),761.0379368126621,833.6666000266533,833.301113214658,60.0
33.873759,-118.137231,1251.0,2641.0,22,Moderate,14,Above Average,2.0,3.0,POINT (-118.137231 33.873759),723.1076385663375,741.6198487095663,741.2947160075861,35.0
33.784191,-118.16148100000001,520.0,2079.0,15,Slightly High,10,Average,2.0,1.0,POINT (-118.161481 33.784191),790.8073185403072,662.5707509390978,662.2802740608417,97.0
33.941112,-118.182992,1803.0,5383.0,11,Slightly High,27,Average,4.0,2.0,POINT (-118.182992 33.941112),673.3862223111025,724.568837309472,724.2511799217214,72.0
34.076223999999996,-118.107141,880.0,4010.0,5,Low,10,Excellent,3.0,2.0,POINT (-118.107141 34.076224),840.8300692268291,774.5966692414834,774.2570792096718,95.0
33.96754,-118.307717,1266.0,5219.0,53,Slightly High,6,Poor,2.0,1.0,POINT (-118.307717 33.96754),666.8926269162148,754.983443527075,754.6524521069135,93.0
34.141849,-117.86773000000001,1413.0,7016.0,0,Low,2,Excellent,3.0,2.0,POINT (-117.86773 34.141849),800.215244245759,851.46931829632,851.096026615154,92.0
33.790898,-118.390464,2842.0,7869.0,1,Very Low,3,Excellent,4.0,2.0,POINT (-118.390464 33.790898),1105.960029470796,1210.3718436910203,1209.8412059679004,63.0
33.810688,-118.197847,1038.0,6501.0,20,Slightly High,12,Average,2.0,1.0,POINT (-118.197847 33.810688),790.8073185403072,608.276253029822,608.0095793397338,79.0
33.960926,-118.037306,1756.0,7407.0,5,Moderate,7,Above Average,3.0,2.0,POINT (-118.037306 33.960926),713.5591594463555,854.4003745317531,854.0257978496055,68.0
33.924051,-118.13601399999999,873.0,5692.0,10,Moderate,5,Average,2.0,1.0,POINT (-118.136014 33.924051),758.3911187827508,700.0,699.6931138078597,70.0
34.053585999999996,-118.419472,1208.0,5307.0,2,Slightly High,6,Above Average,2.0,1.0,POINT (-118.419472 34.053586),1168.766135299092,1153.2562594670796,1152.7506617213228,83.0
34.019641,-118.341948,1772.0,5994.0,17,Slightly High,8,Poor,3.0,2.0,POINT (-118.341948 34.019641),933.3643413723698,1140.175425099138,1139.67556210688,75.0
34.169204,-118.06849,1618.0,7323.0,2,Moderate,2,Average,3.0,2.0,POINT (-118.06849 34.169204),890.714954100597,955.5103348473003,955.0914306641404,68.0
33.81435,-118.284093,1210.0,4626.0,7,Moderate,8,Average,3.0,2.0,POINT (-118.284093 33.81435),679.8685149672215,794.9842765740716,794.6357484348584,68.0
34.156003000000005,-118.23579299999999,1951.0,6210.0,1,Low,2,Above Average,2.0,3.0,POINT (-118.235793 34.15600300000001),900.964697477965,997.4968671630002,997.0595557126637,71.0
33.788948,-118.12920600000001,1302.0,6399.0,6,Slightly High,4,Excellent,3.0,2.0,POINT (-118.129206 33.788948),790.8073185403072,902.7735042633894,902.377720373263,73.0
34.214338,-118.21901899999999,2418.0,9173.0,0,Very Low,2,Excellent,3.0,3.0,POINT (-118.219019 34.214338),1077.7815255175067,1311.4877048604,1310.9127370492808,69.0
34.154289,-118.37263700000001,1579.0,8251.0,7,Low,4,Excellent,3.0,2.0,POINT (-118.372637 34.154289),791.7222096289922,1155.4220008291343,1154.9154536032063,92.0
33.948876,-118.01675700000001,977.0,6950.0,6,Moderate,2,Above Average,3.0,1.0,POINT (-118.016757 33.948876),713.5591594463555,768.1145747868608,767.7778265625983,68.0
34.13985,-117.829986,1947.0,13511.0,1,Low,2,Excellent,4.0,2.0,POINT (-117.829986 34.13985),800.215244245759,1024.6950765959598,1024.245841210015,37.0
33.907121999999994,-118.214504,1066.0,4672.0,20,High,19,Poor,2.0,3.0,POINT (-118.214504 33.90712199999999),630.6642838467009,684.8357467305573,684.535508681192,82.0
34.151288,-118.600481,1590.0,6546.0,1,Very Low,2,Above Average,3.0,2.0,POINT (-118.600481 34.151288),913.0715330159154,943.3981132056604,942.9845191276119,55.0
34.167937,-118.119973,1770.0,7507.0,4,Moderate,3,Average,4.0,2.0,POINT (-118.119973 34.167937),890.714954100597,1023.2301793829187,1022.7815862208704,108.0
34.181112,-118.13566000000002,1341.0,4613.0,4,Moderate,3,Poor,3.0,2.0,POINT (-118.13566 34.181112),861.0586403214015,894.4271909999159,894.0350662073548,94.0
34.153537,-118.627702,2224.0,10410.0,0,Very Low,2,Excellent,4.0,3.0,POINT (-118.627702 34.153537),913.0715330159154,1191.6375287812984,1191.1151043475568,61.0
33.780318,-118.35238999999999,1610.0,14278.0,0,Very Low,5,Excellent,3.0,2.0,POINT (-118.35239 33.780318),995.0633222450659,1000.0,999.5615911540854,70.0
33.932687,-118.15283400000001,1384.0,5969.0,6,Moderate,9,Above Average,3.0,2.0,POINT (-118.152834 33.932687),758.3911187827508,806.2257748298549,805.8723183183652,78.0
34.149006,-117.91161699999999,1380.0,7131.0,3,Moderate,4,Average,3.0,2.0,POINT (-117.911617 34.149006),737.9511075570903,777.8174593052023,777.476457250536,64.0
34.589949,-118.158217,1401.0,7182.0,5,Moderate,4,Above Average,3.0,2.0,POINT (-118.158217 34.589949),463.19295974140175,524.4044240850758,524.17452054672,63.0
33.818771999999996,-118.336797,2337.0,5989.0,1,Low,12,Above Average,4.0,3.0,POINT (-118.336797 33.818772),921.9158827709523,1129.1589790636215,1128.663945778756,57.0
33.786285,-118.31068799999998,1002.0,5752.0,8,Moderate,8,Average,3.0,1.0,POINT (-118.310688 33.786285),827.1646858972122,892.468486838611,892.0772207592809,71.0
33.977687,-118.08786,1096.0,6566.0,13,Moderate,11,Average,3.0,1.0,POINT (-118.08786 33.977687),669.990299560016,728.0109889280518,727.6918224705827,71.0
