Latitude,Longitude,HomeSize,LotSize,YearBuilt,Age,SexOffenders,CrimeIndex,EnviornmentalHazards,SchoolQuality,Bedrooms,Bathrooms,Neighborhood,SalePrice,SalePriceTransformed,Date
34.21333,-118.62265,1652.0,6882.0,1962,14,5,Very Low,4,Average,3,2,West Hills,56727.0,513.729,1976-04-02
34.21241,-118.62206,1721.0,7535.0,1972,48,5,Very Low,4,Average,3,2,West Hills,724000.0,850.509,2020-12-15
34.21352,-118.62076,1456.0,7505.0,1962,58,5,Very Low,4,Average,4,2,West Hills,655000.0,810.271,2020-10-23
34.21224,-118.6202,1303.0,7505.0,1962,58,6,Very Low,4,Average,3,2,West Hills,721000.0,850.374,2020-11-24
34.21622,-118.62059,1582.0,8406.0,1965,36,6,Very Low,4,Average,3,2,West Hills,315000.0,680.192,2001-10-23
34.20971,-118.62253,2414.0,7530.0,1976,44,4,Very Low,4,Average,4,3,West Hills,925000.0,963.193,2020-11-25
34.2167,-118.62427,1372.0,6944.0,1956,64,5,Very Low,4,Average,3,2,West Hills,808000.0,899.944,2020-10-20
34.21703,-118.62692,1372.0,8176.0,1956,64,5,Very Low,5,Average,3,2,West Hills,765000.0,875.852,2020-09-21
34.21674,-118.62563,1358.0,7544.0,1957,63,5,Very Low,5,Average,3,2,West Hills,735000.0,858.591,2020-11-25
34.21459,-118.62628,1358.0,7550.0,1957,63,5,Very Low,4,Average,3,2,West Hills,762000.0,874.133,2020-09-24
34.21123,-118.62519,1668.0,7583.0,1959,62,5,Very Low,4,Average,2,3,West Hills,760000.0,871.221,2021-01-14
34.211,-118.62567,1290.0,7499.0,1959,61,5,Very Low,4,Average,3,2,West Hills,630000.0,794.9,2020-11-23
34.21315,-118.62713,1358.0,7560.0,1957,63,5,Very Low,4,Average,3,2,West Hills,850000.0,923.319,2020-11-19
34.21097,-118.6312,2592.0,9617.0,1979,41,6,Very Low,4,Excellent,5,3,West Hills,1060000.0,1029.11,2020-12-08
34.20851,-118.63139,2742.0,5004.0,2005,15,4,Very Low,4,Excellent,5,3,West Hills,890000.0,944.702,2020-09-24
34.20971,-118.62843,1256.0,7526.0,1961,60,5,Very Low,3,Average,3,2,West Hills,685000.0,827.117,2021-01-13
34.20894,-118.65586,2347.0,11519.0,1995,25,1,Very Low,4,Excellent,4,3,West Hills,1157000.0,1077.23,2020-11-23
34.21005,-118.65607,4989.0,11267.0,1992,28,1,Very Low,4,Excellent,5,6,West Hills,1320000.0,1150.5,2020-09-25
34.20913,-118.65874,2478.0,9459.0,1995,25,1,Very Low,4,Excellent,4,3,West Hills,1085000.0,1041.18,2020-12-30
34.21399,-118.65084,3064.0,8750.0,1986,34,1,Very Low,3,Excellent,4,3,West Hills,1205000.0,1097.24,2020-12-30
34.21494,-118.64979,3064.0,7507.0,1986,34,1,Very Low,3,Excellent,4,3,West Hills,1089000.0,1043.09,2020-12-08
34.21264,-118.64415,2114.0,9346.0,1984,36,2,Very Low,3,Excellent,4,3,West Hills,680000.0,825.842,2020-11-25
34.21576,-118.63804,2354.0,13527.0,1964,56,3,Very Low,3,Above Average,4,3,West Hills,860000.0,928.644,2020-09-29
34.21456,-118.63258,2304.0,11004.0,1965,55,5,Very Low,4,Above Average,4,3,West Hills,835000.0,915.046,2020-09-28
34.2144,-118.63389,2304.0,11192.0,1965,55,5,Very Low,4,Above Average,4,3,West Hills,935000.0,966.53,2020-12-08
34.21731,-118.64627,2079.0,9653.0,1986,34,2,Very Low,3,Excellent,3,2,West Hills,725000.0,851.096,2020-12-10
34.21456,-118.64735,2515.0,6997.0,1984,36,1,Very Low,3,Excellent,4,3,West Hills,1080000.0,1038.77,2020-12-10
34.20631,-118.63137,1153.0,6851.0,1956,64,5,Very Low,5,Excellent,3,2,West Hills,660000.0,813.527,2020-09-29
34.20162,-118.6238,1719.0,7757.0,1959,61,4,Very Low,3,Average,3,2,West Hills,605000.0,778.731,2020-10-22
34.20333,-118.62159,1557.0,7503.0,1956,64,5,Very Low,3,Average,3,2,West Hills,728000.0,852.855,2020-12-30
34.2076,-118.62104,1636.0,6902.0,1956,64,5,Very Low,3,Average,3,2,West Hills,849000.0,922.685,2020-09-17
34.20253,-118.61961,1266.0,7559.0,1956,64,5,Very Low,3,Average,2,2,West Hills,790000.0,889.863,2020-10-20
34.20408,-118.61917,1358.0,8128.0,1956,64,6,Very Low,3,Average,3,2,West Hills,540000.0,735.863,2020-09-18
34.20393,-118.61796,1288.0,7456.0,1964,56,6,Very Low,3,Average,3,2,West Hills,750500.0,867.331,2020-10-08
34.20232,-118.61833,1303.0,7503.0,1964,56,6,Very Low,5,Average,3,2,West Hills,760000.0,873.07,2020-11-30
34.20221,-118.60999,1308.0,6500.0,1954,66,6,Very Low,6,Average,3,2,Canoga Park,641000.0,800.274,2020-12-09
34.20583,-118.60916,1900.0,6749.0,1954,66,6,Very Low,9,Average,4,2,Canoga Park,700500.0,837.942,2020-10-09
34.2064,-118.61179,1358.0,7632.0,1956,64,6,Very Low,3,Average,3,2,Canoga Park,730000.0,855.665,2020-11-25
34.20262,-118.61238,1980.0,7500.0,1965,55,6,Very Low,9,Average,4,3,Canoga Park,754000.0,869.617,2020-11-23
34.19667,-118.60916,837.0,6757.0,1950,70,5,Very Low,12,Average,2,1,Canoga Park,895000.0,947.352,2020-09-22
34.20069,-118.62094,1490.0,8398.0,1958,62,4,Very Low,3,Average,4,2,West Hills,775000.0,881.644,2020-11-25
34.19953,-118.61696,1827.0,5004.0,1979,41,6,Very Low,7,Average,3,3,West Hills,775000.0,881.644,2020-11-30
34.19863,-118.62064,1580.0,10355.0,1958,62,4,Very Low,3,Average,3,2,West Hills,635000.0,796.52,2020-12-31
34.19828,-118.62177,1490.0,7843.0,1958,62,4,Very Low,3,Average,4,2,West Hills,815000.0,902.378,2020-12-31
34.19714,-118.61737,1948.0,8580.0,1958,62,4,Very Low,4,Average,4,2,West Hills,817000.0,905.219,2020-11-13
34.19741,-118.61175,1580.0,7786.0,1960,60,5,Very Low,7,Average,3,2,Canoga Park,760000.0,873.07,2020-11-16
34.19399,-118.62959,1570.0,7558.0,1958,61,3,Very Low,3,Above Average,4,2,West Hills,526000.0,736.962,2019-02-20
34.19399,-118.62936,1570.0,7559.0,1958,63,3,Very Low,3,Above Average,3,2,West Hills,710000.0,842.075,2021-01-13
34.1953,-118.63328,2246.0,7424.0,1957,63,3,Very Low,3,Excellent,4,3,West Hills,599000.0,774.86,2020-10-22
34.19437,-118.63236,1354.0,6829.0,1958,39,3,Very Low,3,Excellent,3,2,West Hills,169000.0,522.448,1997-10-22
34.19654,-118.62372,1570.0,7500.0,1960,60,4,Very Low,6,Average,3,2,West Hills,668000.0,816.954,2020-12-08
34.19636,-118.62372,1570.0,7500.0,1960,60,4,Very Low,6,Average,3,2,West Hills,699000.0,835.696,2020-12-31
34.1955,-118.62376,1570.0,7501.0,1960,60,4,Very Low,6,Average,4,2,West Hills,665000.0,815.118,2020-12-17
34.19559,-118.62527,1570.0,9473.0,1960,60,4,Very Low,6,Average,4,2,West Hills,835000.0,913.383,2020-12-31
34.21058,-118.63718,1803.0,11116.0,1975,45,3,Very Low,3,Excellent,4,2,West Hills,750500.0,867.511,2020-09-18
34.20503,-118.63537,2962.0,11023.0,1990,30,4,Very Low,3,Excellent,3,4,West Hills,1085000.0,1041.18,2020-12-30
34.20472,-118.63729,2174.0,11566.0,1964,56,3,Very Low,3,Excellent,5,3,West Hills,865000.0,931.339,2020-09-25
34.20369,-118.63807,2274.0,11318.0,1966,54,1,Very Low,3,Excellent,4,3,West Hills,925000.0,961.348,2020-12-18
34.20285,-118.6445,2830.0,8114.0,1973,48,2,Very Low,3,Excellent,5,3,West Hills,1060000.0,1028.9,2021-01-21
34.20252,-118.64424,1763.0,8266.0,1969,51,2,Very Low,3,Excellent,3,2,West Hills,800000.0,895.751,2020-11-13
34.20371,-118.64146,2470.0,14624.0,1971,49,1,Very Low,3,Excellent,5,3,West Hills,1215000.0,1103.79,2020-09-18
34.20587,-118.64522,1816.0,11845.0,1974,46,2,Very Low,3,Excellent,3,2,West Hills,781000.0,885.05,2020-11-19
34.20507,-118.64718,3120.0,10721.0,1998,22,1,Very Low,3,Excellent,5,5,West Hills,1290000.0,1137.46,2020-11-24
34.21162,-118.63665,2327.0,11463.0,1993,27,3,Very Low,3,Excellent,4,3,West Hills,875000.0,936.513,2020-10-23
34.2105,-118.64524,2554.0,10992.0,1977,44,1,Very Low,3,Excellent,4,3,West Hills,1070000.0,1033.74,2021-01-22
34.20728,-118.64518,2449.0,11190.0,1978,42,2,Very Low,3,Excellent,4,3,West Hills,1140000.0,1068.96,2020-10-23
34.20959,-118.64514,2449.0,11259.0,1978,42,1,Very Low,3,Excellent,4,3,West Hills,1064000.0,1032.72,2020-10-23
34.20947,-118.63314,2295.0,7707.0,1984,37,6,Very Low,4,Excellent,4,3,West Hills,840000.0,915.927,2021-01-13
34.20092,-118.65385,1646.0,13015.0,1964,56,2,Very Low,3,Excellent,4,3,West Hills,820000.0,906.602,2020-10-01
34.19347,-118.64107,1570.0,6798.0,1959,62,4,Very Low,3,Excellent,3,2,West Hills,678000.0,822.88,2021-01-14
34.19385,-118.64085,1300.0,6962.0,1959,61,4,Very Low,3,Excellent,4,2,West Hills,750000.0,867.222,2020-09-24
34.19579,-118.63836,1250.0,8245.0,1959,61,3,Very Low,3,Excellent,3,2,West Hills,720000.0,849.784,2020-11-20
34.19416,-118.63639,1250.0,6883.0,1959,61,2,Very Low,3,Excellent,3,2,West Hills,760000.0,873.07,2020-11-19
34.19858,-118.63802,1600.0,12579.0,1964,56,3,Very Low,3,Excellent,3,2,West Hills,780000.0,884.213,2020-10-21
34.19636,-118.64361,1598.0,8695.0,1964,56,4,Very Low,3,Excellent,4,2,West Hills,760000.0,873.07,2020-11-13
34.19709,-118.63988,1675.0,12155.0,1961,59,3,Very Low,3,Excellent,4,3,West Hills,965500.0,983.753,2020-10-05
34.2,-118.6438,2082.0,11790.0,1961,59,3,Very Low,3,Excellent,3,2,West Hills,825000.0,909.64,2020-11-25
34.19752,-118.65465,1618.0,11060.0,1963,58,3,Very Low,3,Excellent,3,2,West Hills,825000.0,907.713,2021-01-22
34.20102,-118.64682,1598.0,14802.0,1964,56,2,Very Low,3,Excellent,3,2,West Hills,700000.0,837.643,2020-10-21
34.20051,-118.64648,1613.0,15671.0,1964,56,2,Very Low,3,Excellent,4,2,West Hills,920000.0,958.746,2020-12-10
34.20171,-118.65892,2471.0,7554.0,1986,12,2,Very Low,3,Above Average,4,3,West Hills,372000.0,772.974,1998-04-13
34.20288,-118.65662,2417.0,9719.0,1987,-1,2,Very Low,3,Above Average,4,3,West Hills,200002.0,688.251,1986-09-12
34.19434,-118.66064,2696.0,8567.0,1968,52,3,Very Low,2,Above Average,5,3,West Hills,1020000.0,1011.45,2020-11-25
34.19073,-118.66163,2800.0,11076.0,1968,52,3,Very Low,2,Above Average,5,3,West Hills,1275000.0,1130.83,2020-11-16
34.18679,-118.6584,3042.0,8274.0,1967,53,3,Very Low,2,Excellent,5,3,West Hills,850000.0,921.55,2020-12-29
34.18584,-118.65812,2622.0,10070.0,1967,53,3,Very Low,2,Excellent,5,3,West Hills,1159000.0,1077.83,2020-10-20
34.18522,-118.66032,2610.0,9851.0,1967,53,3,Very Low,2,Excellent,5,3,West Hills,264500.0,515.057,2020-11-17
34.18311,-118.65802,2342.0,10971.0,1976,45,3,Very Low,2,Excellent,4,3,Woodland Hills,1200000.0,1094.74,2021-01-13
34.18281,-118.6626,2293.0,11572.0,1966,54,2,Very Low,2,Excellent,4,3,Woodland Hills,900000.0,950.088,2020-11-30
34.18689,-118.65088,1404.0,7432.0,1960,60,3,Very Low,2,Excellent,4,2,West Hills,795000.0,891.237,2020-12-08
34.18553,-118.65145,1604.0,7291.0,1960,60,3,Very Low,2,Excellent,3,3,West Hills,820000.0,905.142,2020-12-11
34.1847,-118.64827,1356.0,7136.0,1960,60,3,Very Low,2,Excellent,4,2,Woodland Hills,748000.0,866.15,2020-11-25
34.18492,-118.6473,1160.0,7303.0,1960,60,3,Very Low,2,Excellent,3,2,Woodland Hills,720000.0,849.784,2020-11-20
34.19424,-118.65574,1570.0,7045.0,1960,61,3,Very Low,3,Excellent,4,2,West Hills,790000.0,888.25,2021-01-25
34.19174,-118.65431,1300.0,7482.0,1960,61,3,Very Low,3,Excellent,4,2,West Hills,615000.0,783.717,2021-01-13
34.19304,-118.65134,1250.0,7583.0,1960,60,3,Very Low,3,Excellent,3,2,West Hills,770000.0,878.795,2020-11-24
34.19331,-118.65295,2053.0,7741.0,1960,60,3,Very Low,3,Excellent,3,3,West Hills,805000.0,898.546,2020-11-25
34.1918,-118.64401,1570.0,7826.0,1959,61,4,Very Low,4,Excellent,3,2,West Hills,796000.0,891.797,2020-12-31
34.19237,-118.6525,1466.0,7536.0,1960,60,3,Very Low,3,Excellent,3,2,West Hills,734000.0,857.922,2020-09-30
34.18975,-118.65203,1404.0,9266.0,1960,61,3,Very Low,2,Excellent,4,2,West Hills,845500.0,918.921,2021-01-25
34.19541,-118.65482,1757.0,7014.0,1960,60,3,Very Low,3,Excellent,3,2,West Hills,810000.0,901.057,2020-10-02
34.19379,-118.64623,1570.0,7361.0,1960,60,4,Very Low,3,Excellent,3,2,West Hills,712000.0,844.967,2020-09-21
34.17943,-118.63568,2280.0,11050.0,1965,55,3,Very Low,2,Excellent,5,3,Woodland Hills,1150000.0,1073.86,2020-09-21
34.18072,-118.64151,1653.0,7360.0,1957,58,2,Very Low,2,Excellent,3,2,Woodland Hills,675000.0,863.045,2015-12-10
34.18355,-118.63885,1160.0,7536.0,1959,61,3,Very Low,3,Excellent,3,2,Woodland Hills,810000.0,901.057,2020-10-29
34.18359,-118.63538,1404.0,12485.0,1959,61,5,Very Low,3,Excellent,4,2,Woodland Hills,985000.0,992.037,2020-12-14
34.18403,-118.63634,1848.0,7634.0,1959,61,3,Very Low,3,Excellent,4,3,Woodland Hills,825000.0,909.551,2020-09-18
34.18576,-118.63563,1618.0,7080.0,1959,61,4,Very Low,3,Excellent,2,2,Woodland Hills,805000.0,898.546,2020-11-25
34.19306,-118.63297,1829.0,6928.0,1957,63,3,Very Low,3,Excellent,4,2,West Hills,845000.0,918.836,2020-12-16
34.19036,-118.63384,1537.0,7569.0,1957,63,4,Very Low,3,Excellent,3,3,West Hills,860000.0,928.735,2020-11-20
34.18887,-118.63179,1361.0,7073.0,1957,63,2,Very Low,3,Excellent,4,2,West Hills,800000.0,895.751,2020-11-13
34.18802,-118.6387,1616.0,8003.0,1959,61,3,Very Low,5,Excellent,3,2,West Hills,768000.0,877.567,2020-09-30
34.18766,-118.63853,1160.0,7855.0,1959,61,3,Very Low,4,Excellent,3,2,West Hills,695000.0,834.901,2020-11-13
34.18926,-118.63618,1160.0,7213.0,1959,61,3,Very Low,3,Excellent,3,2,West Hills,725000.0,851.096,2020-12-15
34.19262,-118.63692,1841.0,6992.0,1959,61,3,Very Low,3,Excellent,3,2,West Hills,575000.0,759.336,2020-09-18
34.19277,-118.63923,1570.0,7556.0,1959,61,4,Very Low,3,Excellent,3,2,West Hills,775000.0,881.558,2020-09-18
34.18813,-118.63942,1150.0,7838.0,1959,61,3,Very Low,6,Excellent,3,2,West Hills,772500.0,878.534,2020-12-31
34.1879,-118.64022,1570.0,11618.0,1960,60,4,Very Low,6,Excellent,4,2,West Hills,867000.0,932.222,2020-10-02
34.18925,-118.63005,1439.0,7500.0,1957,63,3,Very Low,3,Excellent,4,2,West Hills,820000.0,905.142,2020-12-18
34.1896,-118.62847,1305.0,8498.0,1957,64,3,Very Low,3,Excellent,3,2,West Hills,865000.0,929.457,2021-01-20
34.19264,-118.62877,1644.0,8016.0,1957,63,3,Very Low,3,Excellent,4,2,West Hills,752000.0,866.799,2020-12-29
34.19347,-118.63,1537.0,7348.0,1957,64,3,Very Low,3,Excellent,3,3,West Hills,550000.0,741.144,2021-01-12
34.18841,-118.62131,1570.0,7487.0,1958,62,3,Very Low,6,Above Average,4,2,West Hills,770000.0,877.112,2020-12-17
34.19141,-118.61695,1439.0,7514.0,1957,63,4,Very Low,3,Average,4,2,West Hills,720000.0,849.701,2020-09-18
34.18672,-118.62072,1840.0,8999.0,1958,62,3,Very Low,7,Above Average,3,2,West Hills,650000.0,807.419,2020-11-20
34.18761,-118.61964,1471.0,7500.0,1958,63,3,Very Low,6,Above Average,3,2,West Hills,728000.0,852.682,2021-01-20
34.18945,-118.61713,1570.0,7540.0,1959,51,4,Very Low,3,Average,3,2,West Hills,449000.0,733.169,2010-07-21
34.18577,-118.63099,1276.0,7501.0,1955,65,3,Very Low,3,Excellent,3,2,Woodland Hills,1125000.0,1061.91,2020-10-06
34.18379,-118.62427,2610.0,8858.0,1973,37,3,Very Low,8,Excellent,4,3,Woodland Hills,670000.0,894.731,2010-09-24
34.18493,-118.61747,2497.0,11020.0,1964,56,3,Very Low,3,Above Average,4,3,Woodland Hills,1090000.0,1045.26,2020-10-01
34.18425,-118.61615,2824.0,11210.0,1964,56,3,Very Low,3,Above Average,5,3,Woodland Hills,1077000.0,1039.32,2020-11-18
34.1761,-118.61987,1420.0,5950.0,1959,61,2,Very Low,3,Excellent,2,2,Woodland Hills,801000.0,896.223,2020-09-25
34.17296,-118.6216,1638.0,6063.0,1957,64,2,Very Low,2,Excellent,3,2,Woodland Hills,871000.0,932.675,2021-01-22
34.17131,-118.62169,1727.0,6750.0,1953,67,1,Very Low,2,Excellent,2,2,Woodland Hills,935000.0,968.09,2020-10-09
34.17169,-118.62096,1311.0,6734.0,1953,67,1,Very Low,2,Excellent,3,2,Woodland Hills,718000.0,848.52,2020-09-30
34.17162,-118.61602,2744.0,13518.0,1953,67,1,Very Low,9,Average,3,3,Woodland Hills,1285000.0,1133.08,2020-12-30
34.17076,-118.62079,1660.0,6749.0,1950,70,1,Very Low,2,Excellent,4,2,Woodland Hills,975000.0,988.581,2020-10-08
34.16989,-118.6193,1628.0,6749.0,1950,70,1,Very Low,5,Excellent,3,2,Woodland Hills,765000.0,874.259,2020-12-10
34.16955,-118.61492,1430.0,7006.0,1955,65,2,Very Low,10,Average,3,2,Woodland Hills,675000.0,822.549,2020-10-09
34.16852,-118.61868,1254.0,7500.0,1954,66,1,Very Low,7,Average,2,2,Woodland Hills,760000.0,872.804,2020-10-02
34.16857,-118.62079,1264.0,6746.0,1952,68,1,Very Low,4,Excellent,3,1,Woodland Hills,764000.0,875.365,2020-11-23
34.17472,-118.61585,2058.0,11071.0,1960,60,2,Very Low,4,Average,3,2,Woodland Hills,1299000.0,1141.08,2020-10-09
34.1787,-118.6182,2610.0,11880.0,1960,60,2,Very Low,4,Excellent,4,3,Woodland Hills,1125000.0,1062.23,2020-11-12
34.17346,-118.624,2436.0,7000.0,1956,64,2,Very Low,2,Excellent,3,2,Woodland Hills,875000.0,936.707,2020-09-16
34.17676,-118.64202,1890.0,7415.0,1959,61,1,Very Low,2,Excellent,3,3,Woodland Hills,1153000.0,1073.31,2020-12-10
34.16912,-118.62744,3562.0,5396.0,1953,67,1,Very Low,2,Excellent,4,3,Woodland Hills,952500.0,977.31,2020-09-16
34.16862,-118.63313,1436.0,11270.0,1955,65,0,Very Low,2,Excellent,3,2,Woodland Hills,875000.0,936.707,2020-09-16
34.1695,-118.63849,2142.0,11003.0,1957,63,0,Very Low,2,Excellent,3,3,Woodland Hills,944000.0,973.035,2020-11-17
34.16789,-118.63824,2577.0,11112.0,1962,58,0,Very Low,2,Excellent,4,3,Woodland Hills,1149000.0,1073.5,2020-11-13
34.1804,-118.65283,2862.0,10867.0,1964,30,2,Very Low,2,Excellent,3,3,Woodland Hills,279000.0,697.447,1994-11-23
34.1803,-118.6497,1666.0,9260.0,1960,45,2,Very Low,2,Excellent,3,2,Woodland Hills,739000.0,995.824,2005-06-22
34.18177,-118.64885,3295.0,13025.0,1959,56,2,Very Low,2,Excellent,5,4,Woodland Hills,820000.0,948.673,2015-05-01
34.18148,-118.64436,1524.0,7447.0,1960,60,2,Very Low,2,Excellent,3,2,Woodland Hills,780000.0,884.483,2020-11-24
34.17932,-118.64545,1780.0,7523.0,1960,60,2,Very Low,2,Excellent,3,3,Woodland Hills,840000.0,917.592,2020-10-20
34.17812,-118.64831,2554.0,12993.0,1962,58,2,Very Low,2,Excellent,4,3,Woodland Hills,1315000.0,1148.08,2020-10-21
34.17855,-118.64912,3031.0,11404.0,1961,59,2,Very Low,2,Excellent,5,4,Woodland Hills,1105000.0,1052.75,2020-11-10
34.17765,-118.6502,2346.0,13129.0,1963,57,2,Very Low,2,Excellent,4,2,Woodland Hills,1450000.0,1205.94,2020-11-25
34.17724,-118.65158,2196.0,15688.0,1963,57,2,Very Low,2,Excellent,3,2,Woodland Hills,990000.0,996.363,2020-09-25
34.17671,-118.64736,2104.0,11732.0,1963,57,2,Very Low,2,Excellent,3,3,Woodland Hills,905000.0,952.723,2020-11-20
34.17466,-118.64563,2307.0,8809.0,1960,60,1,Very Low,2,Excellent,3,2,Woodland Hills,1225000.0,1108.1,2020-10-23
34.17404,-118.65568,2016.0,11497.0,1964,56,1,Very Low,2,Excellent,4,2,Woodland Hills,1164000.0,1078.42,2020-12-09
34.17473,-118.65103,2793.0,11123.0,1963,57,1,Very Low,2,Excellent,4,2,Woodland Hills,1450000.0,1205.94,2020-11-17
34.17455,-118.65006,2356.0,13617.0,1963,57,1,Very Low,2,Excellent,3,2,Woodland Hills,1235000.0,1110.82,2020-12-17
34.17418,-118.6525,2420.0,11318.0,1963,57,1,Very Low,2,Excellent,5,4,Woodland Hills,1085000.0,1042.86,2020-10-22
34.17551,-118.65447,2016.0,10957.0,1964,56,1,Very Low,2,Excellent,4,2,Woodland Hills,778000.0,883.079,2020-10-06
34.17248,-118.65694,1936.0,11183.0,1964,57,1,Very Low,2,Excellent,3,2,Woodland Hills,850000.0,921.363,2021-01-12
34.17193,-118.6555,2016.0,13073.0,1964,56,1,Very Low,2,Excellent,4,2,Woodland Hills,936500.0,969.162,2020-11-16
34.16467,-118.64216,2436.0,10983.0,1961,59,0,Very Low,2,Excellent,3,2,Woodland Hills,1125000.0,1062.13,2020-09-30
34.16744,-118.64224,2346.0,13953.0,1962,58,0,Very Low,2,Excellent,5,2,Woodland Hills,1050000.0,1024.25,2020-12-09
34.17015,-118.64552,2539.0,10841.0,1962,58,0,Very Low,2,Excellent,3,2,Woodland Hills,1200000.0,1097.07,2020-11-16
34.16863,-118.64798,3006.0,11223.0,1968,52,0,Very Low,2,Excellent,4,4,Woodland Hills,1400000.0,1182.7,2020-12-17
34.16813,-118.64823,3475.0,11016.0,1969,7,0,Very Low,2,Excellent,4,4,Woodland Hills,152001.0,835.736,1976-06-14
34.16589,-118.75635,1722.0,7004.0,1973,47,0,Very Low,2,Excellent,4,2,Agoura Hills,800000.0,895.478,2020-10-09
34.16715,-118.75545,1924.0,6761.0,1973,19,0,Very Low,2,Excellent,4,2,Agoura Hills,320000.0,774.319,1992-03-24
34.16733,-118.75098,1527.0,7215.0,1975,45,0,Very Low,2,Excellent,3,2,Agoura Hills,822000.0,907.895,2020-09-18
34.15967,-118.75451,1924.0,7944.0,1978,42,0,Very Low,3,Excellent,4,2,Agoura Hills,910000.0,955.258,2020-09-30
34.16513,-118.76172,2418.0,8659.0,1979,42,0,Very Low,2,Excellent,3,3,Agoura Hills,1010000.0,1004.34,2021-01-22
34.14397,-118.71287,2751.0,10512.0,1968,52,0,Very Low,2,Above Average,4,3,Calabasas,1300000.0,1141.51,2020-10-05
34.15636,-118.697,1850.0,9109.0,1964,56,2,Very Low,2,Above Average,5,2,Calabasas,896000.0,947.974,2020-11-20
34.16154,-118.69911,2270.0,9143.0,1964,56,2,Very Low,2,Above Average,5,3,Calabasas,885000.0,942.137,2020-11-23
34.16208,-118.69941,2380.0,15032.0,1964,56,2,Very Low,2,Above Average,4,3,Calabasas,1265000.0,1126.04,2020-10-01
34.14043,-118.71524,2795.0,8070.0,1965,55,0,Very Low,3,Above Average,4,3,Calabasas,113500.0,337.293,2020-10-02
34.15394,-118.77908,2430.0,5466.0,1984,36,1,Very Low,2,Excellent,3,3,Agoura Hills,998000.0,1000.38,2020-09-22
34.14504,-118.74338,1841.0,15481.0,1978,43,0,Very Low,3,Excellent,3,2,Agoura Hills,981000.0,989.819,2021-01-25
34.13904,-118.73464,3174.0,10447.0,1984,36,0,Very Low,2,Excellent,5,4,Agoura Hills,1225000.0,1108.1,2020-10-21
34.13161,-118.70484,2034.0,4802.0,1990,30,0,Very Low,2,Above Average,3,3,Calabasas,1000000.0,1001.17,2020-10-21
34.13049,-118.70989,1355.0,8969.0,1989,31,0,Very Low,2,Above Average,3,2,Calabasas,840000.0,917.592,2020-10-22
